"filename", "language", "JSON", "JavaScript JSX", "PostCSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\contexts\DarkModeContext.js", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\index.css", "PostCSS", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\index.js", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 2, 3, 23
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\reportWebVitals.js", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\setupTests.js", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\utils\api.js", "JavaScript JSX", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\tailwind.config.js", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\package-lock.json", "JSON", 619, 0, 0, 0, 0, 0, 0, 1, 620
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\package.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 1, 17
"Total", "-", 22960, 6983, 50, 1, 38, 21, 263, 653, 30969
